Name_submitted	Name_matched	Author_matched	Overall_score	Taxonomic_status	Accepted_name	Accepted_author	Accepted_family	Source	Warnings	Accepted_name_lsid	user_id
Umbelliferae Cryptodiscus didymus eng. kor.	Cryptodiscus didymus		0.9	Synonym	Prangos didyma	(Regel) Pimenov & V.N. Tikhom.	Apiaceae	tropicos	 		11711
Asclepiadaceae Cryptolepis buchnani	Cryptolepis buchananii		0.98	Accepted	Cryptolepis buchananii	Schult.	Apocynaceae	tropicos	 		11712
Cucurbitaceae Cucumeropsis edulis	Cucumeropsis edulis		1	Accepted	Cucumeropsis edulis	(Hook. f.) Cogn.	Cucurbitaceae	tropicos	 		11713
Cucurbitaceae Cucumis africanus	Cucumis africanus		1	Accepted	Cucumis africanus	L. f.	Cucurbitaceae	tropicos	 		11714
Cucurbitaceae Melone	Melo		0.9	Synonym	Cucumis	L.	Cucurbitaceae	tropicos	 		11715
Cucurbitaceae Cucurbita ficifolia bouch.	Cucurbita ficifolia		0.9	Accepted	Cucurbita ficifolia	Bouché	Cucurbitaceae	tropicos;usda	 		11716
Cucurbitaceae Cucurbita gracilis	Cucurbita gracilior		0.97	Synonym	Cucurbita radicans	Naudin	Cucurbitaceae	tropicos	 		11717
Cucurbitaceae Cucurbita hybrida thul.	Cucurbita hybrida		0.9	No opinion				tropicos	 		11718
Cucurbitaceae Cucurbita lundelliana	Cucurbita lundelliana		1	Accepted	Cucurbita lundelliana	L.H. Bailey	Cucurbitaceae	tropicos	 		11719
Cucurbitaceae Melonenkuerbis	Cucurbitaceae		0.5	Accepted	Cucurbitaceae	Juss.	Cucurbitaceae	tropicos	 [Partial match] 		11720
Cucurbitaceae Cucurbita mixta	Cucurbita mixta		1	Synonym	Cucurbita argyrosperma subsp. argyrosperma		Cucurbitaceae	tropicos	 		11721
Cucurbitaceae Cucurbita moschata	Cucurbita moschata		1	Accepted	Cucurbita moschata	Duchesne	Cucurbitaceae	tropicos;usda	 		11722
Cucurbitaceae Cucurbita okeechob??nsis L.H. Bailey	Cucurbita		0.5	Accepted	Cucurbita	L.	Cucurbitaceae	tropicos	 [Partial match] 		11723
Cucurbitaceae Cucurbita ovifera L.	Cucurbita ovifera	L.	1	Synonym	Cucurbita pepo subsp. pepo		Cucurbitaceae	tropicos	 		11724
Cucurbitaceae Cucurbita palmata	Cucurbita palmata		1	Accepted	Cucurbita palmata	S. Watson	Cucurbitaceae	tropicos;usda	 		11725
Cucurbitaceae Kuerbiskernoel	Cucurbitaceae		0.5	Accepted	Cucurbitaceae	Juss.	Cucurbitaceae	tropicos	 [Partial match] 		11726
Cucurbitaceae Cucurbita sororia	Cucurbita sororia		1	Synonym	Cucurbita argyrosperma subsp. sororia	(L.H. Bailey) Merrick & D.M. Bates	Cucurbitaceae	tropicos	 		11727
Cucurbitaceae Cucurbita texana A. Gray	Cucurbita texana	(Scheele) A. Gray	0.92	Synonym	Cucurbita pepo subsp. texana	(A. Gray) Filov	Cucurbitaceae	tropicos	 		11728
Sapindaceae Cupania vernalis	Cupania vernalis		1	Accepted	Cupania vernalis	Cambess.	Sapindaceae	tropicos	 		11729
Lythraceae Cuphea acinifolia (Brasilien)	Cuphea acinifolia	A. St.-Hil.	0.81	Accepted	Cuphea acinifolia	A. St.-Hil.	Lythraceae	tropicos	 		11730
